plant_name,common_name,compound_name,pubchem_cid,reference_link,source_page_url,scrape_timestamp
Azadirachta indica,"Margosa tree, Neem",1-Aminocyclohexanecarboxylic acid,1366,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1016/j.jksus.2021.101541,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem",1-Benzyl-3-methyl-2-thiourea,2735489,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1080/22297928.2021.1877195,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem","1-Decanol, 2-hexyl-",95337,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1016/j.cdc.2019.100208,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem",1-Docosene,74138,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1021/np50081a005,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem",1-Dodecanol,8193,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1186/s12870-022-03650-5,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem",1-Dodecene,8183,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1007/s13197-018-3060-y,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem",1-Eicosene,18936,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1080/22297928.2021.1877195,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem",1-Ethyl-3-vinyl-adamantane,595127,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1007/s13197-018-3060-y,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem",1-Hexadecanol,2682,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1007/s13197-018-3060-y,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem",1-Iodoundecane,20276,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1007/s13197-018-3060-y,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem",1-Isopropoxy-2-phenylmethtylbenzene,614679,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1016/j.cdc.2019.100208,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem",1-Methyladenine,135398646,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1016/j.jksus.2021.101541,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem","1-Naphthalenol, decahydro-1,4a-dimethyl-7-(1-methylethylidene)-, [1R-(1 alpha,4a beta,8a gamma)]-",6432454,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1007/s13197-018-3060-y,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem","1-Naphthalenol, decahydro-1,4a-dimethyl-7-(1-methylethylidene)-, [1R-(1.alpha.,4a.beta.,8a.alpha.)]-",6432454,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1016/j.cdc.2019.100208,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem","1-Naphthalenol, decahydro-1,4a-dimethyl-7-(1-methylethylidene)-, [1R-(1a,4ab,8aa)]- (or) Eudesm7(11)-en-4-ol; Juniper camphor",6432454,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1007/s13197-018-3060-y,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem",1-Nonadecene,29075,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1080/22297928.2021.1877195,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem",1-Piperidinethiocarboxamide,1551232,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1016/j.cdc.2019.100208,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem","1-Propene, 1,1-thiobis-",5370448,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1007/s13197-018-3060-y,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem","1-Propene, 3-[(1-methylethyl)thio]-",521309,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1007/s13197-018-3060-y,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem","1-Propene, 3-[(1-methylethyl)thio]- (or) Allyl isopropyl sulfide",521309,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1007/s13197-018-3060-y,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem",1-methylpyrrol,7304,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1186/s12906-022-03513-4,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem",1-napthyl acetoxy acetate,,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1186/s12906-022-03513-4,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem",10-Epi-?-Eudesmol,6430754,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1080/22297928.2021.1877195,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem","11,14-Eicosadienoic acid, methyl ester",5365566,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1007/s13197-018-3060-y,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem","11-Octadecenoic acid, methyl ester",5364432,https://bmppd.org/reference/?ref=https%3A//doi.org/10.9734/BJPR/2017/30611,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem","13-Methoxypodocarpa8,11,13-trien-3-one",620857,https://bmppd.org/reference/?ref=https%3A//ijpsr.com/bft-article/standardization-of-the-hydro-alcoholic-extract-of-ayurvedic-vaginal-formulation-na-by-using-chromatography-hptlc-hplc-and-spectroscopy-uv-vis-ftir-gc-ms-methods/,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem",15-Hydroxypentadecanoic acid,78360,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1016/j.cdc.2019.100208,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem",17-Epiazadiradione,12308716,https://bmppd.org/reference/?ref=https%3A//doi.org/10.15482/usda.adc/1239279,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem","1H-3a,7-Methanoazulene, 2,3,4,7,8,8a-hexahydro-3,6,8,8-tetramethyl-, [3R-(3a`,3aa´,7a´,8aa`)]-",10099,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1007/s13197-018-3060-y,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem","1H-Indole-2-carboxylic acid, 6-(4-ethoxyphenyl)-3-methyl-4-oxo-4,5,6,7-tetrahydro-, isopropyl ester",4916205,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1016/j.cdc.2019.100208,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem",2'-O-Methyladenosine,317398,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1016/j.jksus.2021.101541,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem","2(3H)-Furanone, dihydro-5-pentyl-",7710,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1007/s13197-018-3060-y,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem","2, 4- Decadienal",5283349,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1007/s13197-018-3060-y,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem","2, 4-Decadienal",5283349,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1007/s13197-018-3060-y,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem","2, 5-Dimethyl-4-hydroxy-3(2H)-furanone",19309,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1186/s12870-022-03650-5,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem","2,3,5-Trimethoxytoluene",170114,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1080/15567036.2019.1624893,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem","2,3-Dihydronimbolide",397876,https://bmppd.org/reference/?ref=https%3A//doi.org/10.3390/ph11030076,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem","2,3-Dimethyl-4-hydroxy-2-butenoic lactone",338812,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1007/s13197-018-3060-y,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem","2,4-Cyclohexadien-1-one, 3,5-bis(1,1-dimethylethyl)-4-hydroxy",610030,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1016/j.cdc.2019.100208,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem","2,4-Di-tert-butylphenol",7311,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1186/s42269-021-00498-x,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem","2,4-Quinolinediol",54680871,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1016/j.jksus.2021.101541,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem","2,4-dimethylphenol",7771,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1080/15567036.2019.1624893,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem","2,4a-Methanonaphthalen-7(4aH)-one, 1,2,3,4,5,6-hexahydro-1,1,5,5-tetramethyl-, (2 s-cis)-",90971,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1007/s13197-018-3060-y,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem","2,4a-Methanonaphthalen-7(4aH)-one, 1,2,3,4,5,6-hexahydro-1,1,5,5-tetramethyl-, (2 s-cis)- (or) Isolongifolen-9-one",90971,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1007/s13197-018-3060-y,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem","2,6,10,14,18-Pentamethyl-2,6,10,14,18-eicosapentaene",5366013,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1016/j.cdc.2019.100208,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem","2,6,10,14-Hexadecatetraen-1-ol, 3,7,11,15-tetramethyl-, acetate, (E,E,E)-",5366012,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1016/j.cdc.2019.100208,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem","2,6-Octadien-1-ol, 3,7-dimethyl-, (Z)-",643820,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1016/j.cdc.2019.100208,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem","2,6-Octadien-1-ol, 3,7-dimethyl-, acetate, (Z)-",1549025,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1007/s13197-018-3060-y,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem","2,6-Octadienal, 3,7-dimethyl-, (E)-",638011,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1007/s13197-018-3060-y,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem","2,6-Octadienal, 3,7-dimethyl-, (Z)-",643779,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1016/j.cdc.2019.100208,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem","2,6-dimethylphenol",11335,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1080/15567036.2019.1624893,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
Azadirachta indica,"Margosa tree, Neem",2-(2-Isopropenyl-5-methyl-cyclopentyl)-acetamide,586607,https://bmppd.org/reference/?ref=https%3A//doi.org/10.1007/s13197-018-3060-y,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,2026-09-22T15:49:23.694278+00:00
