record_id,raw_scientific_name,normalized_scientific_name,raw_synonym,raw_family,normalized_family,canonical_scientific_name,canonical_family,reconciliation_status,confidence,source_page_url,scrape_timestamp
487f9aaff64b1bf4,Mentha arvensis L.,mentha arvensis l.,Mentha arguta Opiz. Mentha badensis C.C.Gmel. Mentha diffusa Lej. Mentha hostii Boreau.,Lamiaceae,lamiaceae,,,POTENTIAL_DUPLICATE,MEDIUM,https://mpbd.cu.ac.bd/plants.php?pageno=5,2026-09-22T15:44:34.993453+00:00
77b484b50b3147aa,Mentha spicata L.,mentha spicata l.,Mentha crispa L. Mentha rosanii Ten. Mentha viridis (L.) L. Mentha walteriana Opiz.,Lamiaceae,lamiaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=5,2026-09-22T15:44:34.993453+00:00
2f52977f954f8b71,Pogostemon PUBESCENS Benth.,pogostemon pubescens benth.,-,Lamiaceae,lamiaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=5,2026-09-22T15:44:34.993453+00:00
c5c529dcc9d4a268,Rhinacanthus nasutus (L.) Kurz,rhinacanthus nasutus (l.) kurz,Dianthera paniculata Lour. Ecbolium dichotomum (Blume) Kuntze Pseuderanthemum connatum Lindau Rhi,Acanthaceae,acanthaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=5,2026-09-22T15:44:34.993453+00:00
1affb9e4fc8a1b09,Sesamum indicum L.,sesamum indicum l.,Dysosmon amoenum Raf. Sesamum africanum Tod. Sesamum oleiferum Sm Volkameria orientalis (L.) Kunt,Pedaliaceae,pedaliaceae,,,POTENTIAL_DUPLICATE,MEDIUM,https://mpbd.cu.ac.bd/plants.php?pageno=5,2026-09-22T15:44:34.993453+00:00
e17b0cba582b1897,Nelumbium speciosum Willd.,nelumbium speciosum willd.,-,Rubiaceae,rubiaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=5,2026-09-22T15:44:34.993453+00:00
104c3e517673d0fc,Rubia cordifolia L.,rubia cordifolia l.,Galium cordifolium (L.) Kuntze Rubia cordata Thunb. Rubia javana DC. Rubia purpurea Decne. Rubia,Rubiaceae,rubiaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=6,2026-09-22T15:47:54.625133+00:00
754eb8bad2512cba,Artemisia absinthium L.,artemisia absinthium l.,Absinthium officinale Brot. Artemisia absinthia St.-Lag. Artemisia inodora Mill. Artemisia pendul,Asteraceae,asteraceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=6,2026-09-22T15:47:54.625133+00:00
6e7f5ee4c48b1046,Eclipta prostrata (L.) L.,eclipta prostrata (l.) l.,Acmella lanceolata Link ex Spreng. Bellis ramosa Jacq. Cotula alba (L.) L. Eclipta alba (L.) Hass,Asteraceae,asteraceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=6,2026-09-22T15:47:54.625133+00:00
aa3d9ed21b1ec09f,Cyperus rotandus L.,cyperus rotandus l.,Chlorocyperus rotundus (L.) Palla Cyperus comosus Sm. Pycreus rotundus (L.) Hayek Schoenus tubero,Cyperaceae,cyperaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=6,2026-09-22T15:47:54.625133+00:00
345ec383ef427b38,Saccharum officinarum L.,saccharum officinarum l.,Arundo saccharifera Garsault Saccharum monandrum Rottb. Saccharum occidentale Sw. Saccharum viola,Poaceae,poaceae,,,POTENTIAL_DUPLICATE,MEDIUM,https://mpbd.cu.ac.bd/plants.php?pageno=6,2026-09-22T15:47:54.625133+00:00
0ff3d26d93e00a51,Hordeum vulgare L.,hordeum vulgare l.,Hordeum bifarium Roth Hordeum hexastichon L. Hordeum macrolepis A.Braun Hordeum nigrum Willd.,Poaceae,poaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=6,2026-09-22T15:47:54.625133+00:00
c9d51617286a1e47,Elettaria cardamomum (L.) Maton.,elettaria cardamomum (l.) maton.,Alpinia cardamomum (L.)Roxb. Amomum cardamomum L. Cardamomum malabaricum Pritz. Zingiber minus Ga,Zingiberaceae,zingiberaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=6,2026-09-22T15:47:54.625133+00:00
fd68b3cea03a6c5a,Crocus sativus L.,crocus sativus l.,Crocus officinalis (L.)Honck. Crocus pendulus Stokes Geanthus autumnalis Raf. Safran officinarum,Iridaceae,iridaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=6,2026-09-22T15:47:54.625133+00:00
65a4424ba5c3ba6a,Santalum album L.,santalum album l.,Sirium myrtifolium L.,Santalaceae,santalaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=6,2026-09-22T15:47:54.625133+00:00
cdf96485b7ea4be3,Macaranga peltata (Roxb.)Muell.-Arg.,macaranga peltata (roxb.)muell.-arg.,Macaranga roxburghii Wight Mappa peltata(Roxb.) Wight Osyris peltata Roxb. Tanarius peltatus(Roxb.,Euphorbiaceae,euphorbiaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=6,2026-09-22T15:47:54.625133+00:00
