plant_index,term_raw,term_light
123,asthma,asthma
123,rheumatism,rheumatism
123,scabies,scabies
123,earache,earache
123,tumours,tumours
123,bleeding piles,bleeding piles
123,epistaxis,epistaxis
123,ophthalmia,ophthalmia
124,fevers,fevers
124,coughs,coughs
124,bronchitis,bronchitis
124,rheumatism,rheumatism
124,inflammation,inflammation
124,leucoderma,leucoderma
124,piles,piles
124,indigestion,indigestion
124,heart disease,heart disease
125,menorrhagia.,menorrhagia
126,stomachache.,stomachache
127,boils,boils
127,rheumatism,rheumatism
127,purgative,purgative
127,delirium,delirium
127,fever,fever
127,ulcers,ulcers
127,wounds,wounds
127,diarrhea,diarrhea
127,nausea,nausea
127,vomiting,vomiting
127,scabies,scabies
127,digest,digest
128,cough,cough
128,asthma,asthma
128,worms,worms
128,leprosy,leprosy
128,skin diseases,skin diseases
128,gastric pain.,gastric pain
129,Dyspepsia,dyspepsia
129,coughs,coughs
129,bronchitis,bronchitis
129,asthma,asthma
129,rheumatism,rheumatism
129,lumbago,lumbago
129,fever associated with cold and malaise,fever associated with cold and malaise
129,constipation,constipation
129,dysentery,dysentery
129,vomiting,vomiting
129,headache,headache
129,earache,earache
129,sprain joints,sprain joints
129,in sore throats and voice loss.,in sore throats and voice loss
130,Diarrhoea,diarrhoea
130,colic,colic
130,cough,cough
130,headache,headache
130,amenorrhoea,amenorrhoea
130,pain.,pain
131,salep,salep
132,Biliousness,biliousness
132,piles,piles
132,pain,pain
132,angina,angina
132,paludism.,paludism
133,Urinary diseases,urinary diseases
133,dyspepsia,dyspepsia
133,diarrhoea,diarrhoea
133,rheumatism,rheumatism
133,cholera,cholera
133,asthma,asthma
133,bronchitis,bronchitis
133,heart troubles,heart troubles
133,piles and toothache,piles and toothache
133,cholera,cholera
133,inflammatory dermatosis,inflammatory dermatosis
133,eczema.,eczema
134,Stimulation,stimulation
135,Inflammation,inflammation
135,asthma,asthma
135,cough,cough
135,bronchitis.,bronchitis
136,Dysentery,dysentery
136,diarrhoea,diarrhoea
136,swellings of the breast,swellings of the breast
136,elephantiasis,elephantiasis
137,Dysentery,dysentery
137,diarrhoea,diarrhoea
137,swellings of the breast,swellings of the breast
137,elephantiasis,elephantiasis
138,Diarrhoea,diarrhoea
138,dysentery,dysentery
138,biliousness,biliousness
138,dysuria and boils.,dysuria and boils
139,Bronchitis,bronchitis
139,asthma,asthma
139,pain of  muscle,pain of muscle
139,paralysis,paralysis
139,inflammations,inflammations
139,leprosy,leprosy
139,boils,boils
139,eruptions,eruptions
139,stomachache,stomachache
139,dysentery,dysentery
139,rheumatism,rheumatism
139,dysentery,dysentery
139,fevers,fevers
139,diarrhorea,diarrhorea
139,biliousness.,biliousness
140,urinary and renal complaints,urinary and renal complaints
140,gleet,gleet
140,leucorrhoea,leucorrhoea
140,menorrhagia,menorrhagia
140,hydrophobia,hydrophobia
140,in cancer,in cancer
140,strumous diseases,strumous diseases
141,Toothache,toothache
141,fever,fever
141,haemorrhage,haemorrhage
141,dysentery,dysentery
141,menstrual and renal complaints.,menstrual and renal complaints
142,in dysentery,in dysentery
142,diarrhoea,diarrhoea
142,menorrhagia,menorrhagia
142,leucorrhoea,leucorrhoea
142,ulcers,ulcers
142,wounds,wounds
142,toothache,toothache
142,haemorrhoides,haemorrhoides
142,bilious sickness,bilious sickness
142,tumour.,tumour
143,Rheumatism,rheumatism
143,nervous tension,nervous tension
143,loss of memory,loss of memory
143,psoriasis,psoriasis
143,bronchitis,bronchitis
143,asthma,asthma
143,hiccup,hiccup
143,scabies,scabies
143,marasmus of children,marasmus of children
143,headaches,headaches
143,convulsions,convulsions
143,sleeplessness,sleeplessness
143,seminal weakness and mouth sores.,seminal weakness and mouth sores
144,Depression,depression
145,Cough,cough
145,cephalalgia diseases,cephalalgia diseases
145,skin diseases,skin diseases
145,alopecia,alopecia
145,uterine haemorrhage,uterine haemorrhage
145,menorrhagia,menorrhagia
145,dysentery,dysentery
145,rheumatic fever,rheumatic fever
145,headache,headache
145,vomiting.,vomiting
146,Inflammations,inflammations
146,bowels,bowels
146,piles,piles
146,tumours,tumours
146,leucoderma,leucoderma
146,asthma,asthma
146,urinary  discharges,urinary discharges
146,colds,colds
146,eye diseases,eye diseases
146,sneezing boils,sneezing boils
146,abscesses.,abscesses
147,Filaria,filaria
148,Rheumatic pains,rheumatic pains
148,inflammation,inflammation
148,sprains,sprains
148,intermittent fever,intermittent fever
148,cancer,cancer
148,hydrocele,hydrocele
148,stomachache,stomachache
148,vomiting.,vomiting
149,Jaundice,jaundice
150,Jaundice,jaundice
150,menstrual bleeding,menstrual bleeding
150,diabetes and malaria.,diabetes and malaria
151,tonic,tonic
151,vermifuge,vermifuge
151,antiparasitic,antiparasitic
151,alterative,alterative
151,anodyne,anodyne
151,headache,headache
151,rheumatism,rheumatism
151,ulcers,ulcers
151,febrile,febrile
151,catarrhal,catarrhal
151,pains,pains
151,asthma,asthma
151,diuretic,diuretic
151,nervine,nervine
151,cephalic,cephalic
151,emmenagogue,emmenagogue
151,cooling,cooling
151,astringent .,astringent
152,neuralgia.,neuralgia
153,laxative,laxative
153,appetizer,appetizer
153,galactagogue,galactagogue
153,tonic,tonic
153,aphrodisiac,aphrodisiac
153,diuretic,diuretic
153,antibilious,antibilious
153,jaundice.,jaundice
154,laxative,laxative
154,antipyretic,antipyretic
154,tonic,tonic
154,bowels,bowels
154,biliousness,biliousness
154,eye troubles,eye troubles
154,headache,headache
154,nose complaints,nose complaints
154,throat inflammations,throat inflammations
154,bronchitis,bronchitis
154,kidney and fever.,kidney and fever
155,laxative,laxative
155,aphrodisiac,aphrodisiac
155,tonic,tonic
155,appetizer,appetizer
