plant_index,site_id,detail_url,scientific_name_master,scientific_name_page,name_match,family_page,synonym_page,bangla_name,english_name,disease_raw,uses_raw,chemical_constituents_raw,habit,distribution_raw,description_raw,source_cache_file,http_status,scrape_timestamp,quality_flags
411,418,https://mpbd.cu.ac.bd/details.php?id=418,Maesa ACUMINATA DC.,Maesa  ACUMINATA DC.,True,Myrsinaceae,Maesa   ramentacea Wall.,"Mesa-dai (Marma.), Maricha, Naricha phul, Noa-maricha, Lodi Sibang, Leddu Shibang, Muruli, Kura tethoi (Chakma.), Bol-jakhandok, The Beloa (Garo).",-,Diarrhoea.,Leaf juice is given to children with symptoms of diarrhoea by the Marma and Chakma in Chittagong Hill Tracts. Juice is also used in cuts by the Marma.,-,Tree,"Forests of Chittagong, Chittagong Hill Tracts, Cox’s Bazar, Sylhet & Sal forest.","A small evergreen tree, with long hanging branches. Leaves ovate-lanceolate, 10-20 cm long, acuminate base rounded, entire. Flowers white, small, in axillary, compound racemes. Fruit a small, white berry.",782e945ff6fd4959e701fcce.html,200,2026-09-24T18:46:44.518689+00:00,
412,419,https://mpbd.cu.ac.bd/details.php?id=419,Madhuca longifolia VAR. LATIFOLIA (Roxb.) A.Chev.,Madhuca longifolia VAR. LATIFOLIA (Roxb.) A.Chev.,True,Sapotaceae,Madhuca indica  Gmel. Bassia latifolia  Roxb. Illipe latifolia  (Roxb.) F.Muell. Madhuca latifolia  (Roxb.) J.F.Macbr.  Vidoricum latifolium  (Roxb.) Kuntze,"Mahua, Maul, Moa.  ,Matkom (Santal).","Butter Tree, Mahua Tree.","Cooling, tonic, demulcent , carminative, coughs, colds, bronchitis, piles, emollient, emetic, laxative, skin diseases, rheumatism, headache, heals wounds and ulcers.","Flowers are cooling, tonic, demulcent and carminative, used in coughs, colds and bronchitis. Dried flowers are used as a fomentation, in cases of orchitis for their sedative effect. The flowers fried in ghee are given to persons suffering from piles. Seed","Leaves contain ?-sitosterol-?-D-glucoside, stigmasterol, n-hexacosanol and 3?-caproxyolean-12-en-28-ol, ?-carotene, n-octacosanol, sitosterol, its ?-D-glucoside, stigmasterol, 3?-palmitoxyolean-12-en-28-ol, oleanolic acid, quercetin, erythrodiol, palmitic",Tree,"Dinajpur, usually planted by Santals and Barmans. Also planted elsewhere in the country.","A medium-sized to large, handsome, deciduous tree, young parts yellow tomentose. Leaves clustered at the end of branches, elliptic-oblong, 12-20 cm long, shortly acuminate. Flowers cream-coloured, fleshy, sweet, in dense clusters near the end of branches, drooping. Fruit a berry, ovate, acute, fleshy, 2.5 cm long.",f901850d7f1a47b5f0815f41.html,200,2026-09-24T18:46:45.608372+00:00,encoding_loss_suspected
413,420,https://mpbd.cu.ac.bd/details.php?id=420,Macrotyloma uniflorum (Lam.) Verde.,Macrotyloma uniflorum (Lam.) Verde.,True,Fabaceae,Dolichos   biflorus L. Dolichos benadirianus  Chiov. Dolichos uniflorus  Lam. Kerstingiella uniflora  (Lam.) J.A.Lackey,"Kurti Kalai.,Dail sumi (Tanchangya).",Horse-gram.,"Tumours, skin disease, anal fissures, dysuria, sores, burns, bowels, antipyretic, anthelmintic, diuretic, tonic, asthma, bronchitis, hiccup, ozoena, strangury, piles, leucoderma, leucorrhoea, menstrual derangements, kidney and gall bladder.","Plant is used in tumours, skin eruptions, anal fissures, dysuria, sores and burns. Seeds are astringent to the bowels, antipyretic, anthelmintic, diuretic and tonic, cures asthma, bronchitis, hiccup, ozoena, strangury, piles and leucoderma. Decoction of t","Leaves and stems contain a lectin-like glycoprotein and a large number of amino acids. They also contain coumesterol and psoralidin. Seeds contain lectins, glycoprotein, agglutinin, an anti-A phytoagglutinin, four glycosidase enzymes, an unusual allantoin",-,"Rajshahi, Dinajpur and Chittagong Hill Tracts.","A twining annual. Leaves 3-foliolate, leaflets 2.5-5 cm broadly lanceolate or oblong. Flowers 1-3 in the axils of the leaves, corolla yellow, 1.3-2 cm long. Pods about 5 cm long, scimitar-shaped, compressed, recurved.",06550bbf558f8b4113fb8d67.html,200,2026-09-24T18:46:47.084622+00:00,
414,421,https://mpbd.cu.ac.bd/details.php?id=421,Macrosolen COCHINCHINENSIS (Lour.) Van Teigh.,Macrosolen  COCHINCHINENSIS (Lour.) Van Teigh.,True,Loranthaceae,Loranthus cochinchinensis  Lour. Loranthus fordii  Hance Macrosolen fordii  (Hance) Danser Tristerix viridiflorus  Mart.,"Chota Banda, Rema (Sylhet).,Orsallu (Chakma.).",-,Jaundice.,The leaf paste is taken by Chakma as a remedy for jaundice.,-,Shrub,"Chittagong, Chittagong Hill Tracts, Dhaka, Mymensingh, Sylhet, Dinajpur, Rangpur, Rajshahi, Moulvi Bazar, attached on host plants.","A much branched, quite glabrous, epiphytic parasitic shrub with swollen nodes. Leaves 4-12 cm long, elliptic, elliptic-lanceolate or ovate, thickly coriaceous. Flowers greenish-yellow, lip purplish, up to 20 mm long, in axillary racemes, solitary or in pairs, sometimes clustered. Fruit a berry, 6-8 mm long, slightly tubercled, dark violet when ripe.",467a1232dbf38b184952e1a7.html,200,2026-09-24T18:46:48.111160+00:00,
415,422,https://mpbd.cu.ac.bd/details.php?id=422,Macaranga DENTICULATA Muell.-Arg.,Macaranga  DENTICULATA Muell.-Arg.,True,Euphorbiaceae,Macaranga chatiniana  (Baill.) Müll.Arg. Mappa denticulata  Blume Rottlera glauca  Hassk. Tanarius gmelinifolius  (King ex Hook.f.) Kuntze,"Burna, Burakochi, Ratabura, Mathura-ninia, Lepcha, Bura (Chittagong).",-,"Constipation, mucous stool and colic.","The juice of the leaves and flowers is administered in cases of constipation, mucous stool and colic in Jointiapur of Sylhet.","A new triterpene – 3-epitaraxerol along with teraxerone and ?-sitosterol have been isolated from the plant (Rastogi & Mehrotra, 1993).",Tree,Forests of Chittagong and Chittagong Hill Tracts.,"A low evergreen tree, with a large spreading crown, young shoots, leaves and inflorescence rusty tomentose. Leaves large, peltate, denticulate or entire, base rounded. Flowers in axillary panicles. Fruit a capsule, about 6 mm diam.",b97809804e44708021e26f9c.html,200,2026-09-24T18:46:49.418919+00:00,encoding_loss_suspected
416,423,https://mpbd.cu.ac.bd/details.php?id=423,Lygodium MICROPHYLLUM (Cau.) R. Br.,Lygodium  MICROPHYLLUM (Cau.) R. Br.,True,Lygodiaceae,Lygodium scandens  var. intermedium Ces. Ophioglossum filiforme  Roxb. Ugena microphylla  Cav.,"Patilata  fern (B), Mew Ma Klai (Marma).",-,"Dysentery,  skin diseases.",The decoction of the leaves is given in dysentery. Pounded leaves are applied in skin diseases and swellings to cure.,-,Climber,Chittagong and North Bengal.,"A slender, graceful climbing fern. Fronds simply pinnate, pinnules petioled, 3-4 on each side of the zigzag rachis, with a terminal one which is more or less lobed, barren pinnae ovate-oblong, blunt, the margin subentire or rarely somewhat lobed, the base rounded or cordate, fertile ones short, deltoid, with generally a very rounded apex, and a square base and lobed round the margin.",742d0acb98c06c8c6ade5eb2.html,200,2026-09-24T18:46:50.731298+00:00,
417,424,https://mpbd.cu.ac.bd/details.php?id=424,Lygodium JAPONICUM (Thunb.) Sw.,Lygodium  JAPONICUM (Thunb.) Sw.,True,Lygodiaceae,Davallia scandens  (Lour.) Sw. Hydroglossum japonicum  (Thunb.) Willd. Ophioglossum japonicum  Thunb. Trichomanes cochinchinense  Poir.,-,-,"Diuretic and cathartic, haematuria and mennorrhagia.","The plant is expectorant. A decoction of the vegetative parts and spores is diuretic and cathartic, used in haematuria and mennorrhagia.",-,Climber,Chittagong and Khulna division occasional.,"A very slender and graceful, climbing fern. Pinnae are much smaller than L. flexuoum, with the pinnules smaller and finely cut, the fertile ones often so contracted that there is little or no lamina present.",7f539d772cc2a640ad6d30e1.html,200,2026-09-24T18:46:51.771527+00:00,
418,425,https://mpbd.cu.ac.bd/details.php?id=425,Lygodium FLEXUOSUM Sw.,Lygodium  FLEXUOSUM Sw.,True,Lygodiaceae,Hydroglossum flexuosum  (L.) Willd. Ophioglossum flexuosum  L. Ramondia flexuosa  (L.) Mirb.,"Saralata fern (B), Miau-maka-la (Marma), Kuttijurkha (Tanchunga), Huttigurpo (Chakma).",-,"Antibacterial, menorrhagia, rheumatism, sprains, scabies, ulcers, eczema, carbuncles and pain.","Plant is expectorant and antibacterial, infusion is used in menorrhagia. Marma of Chittagong Hill Tracts applies the plant juice to insect bites as an antidote, after squeezing out a little blood. The fresh root boiled with mustard oil is applied external","Roots contain flavonoids, quercetin and pentahydroxyflavone-3-O-rutinoside (Ghani, 2003).",Climber,Chittagong and Chittagong Hill Tracts.,"A slender and graceful, climbing fern. Fronds stipitate-pinnate with the pinnules again pinnate or variously lobed or sub-palmate, all serrulate, sori protruding from the margin.",c23183a5cd710ff96f5391d4.html,200,2026-09-24T18:46:52.869125+00:00,
419,426,https://mpbd.cu.ac.bd/details.php?id=426,Lygodium CIRCINATUM (Burm.) Sw.,Lygodium  CIRCINATUM (Burm.) Sw.,True,Lygodiaceae,-,-,-,-,Roots and leaves are applied to wounds in Indonesia.,-,Climber,Forest of Chittagong.,"A graceful, climbing fern. Fully developed barren frond bipartite into 2 palmate lobes or simply palmate, primary petiole much reduced, secondary petiole 2.5-5 cm long, firm, naked, pinnules digitate, with 5-6 long lanceolate lobes, reaching nearly down to the base, or once or even twice-forked, ultimate barren divisions 10-30 cm long, the fertile ones contracted sometimes so much, that the lamina is nearly lost, the spikes 2.5-5 cm long, in close marginal rows.",641ac69af386d494123860a1.html,200,2026-09-24T18:46:54.033956+00:00,
420,427,https://mpbd.cu.ac.bd/details.php?id=427,Lycopersicon LYCOPERSICUM (L.) Karsten,Lycopersicon  LYCOPERSICUM (L.) Karsten,True,Solanaceae,Lycopersicon   esculentum Mill. Hydroglossum circinnatum  (Burm. f.) Willd. Ophioglossum circinnatum  Burm. f.,"Belati Begun, Tok Begun, Tometo, Khatta baioon (Chittagong).",Tomato.,"Gastric, antiseptic, canker of the mouth, dyspepsia, bile and kidney disease.","Pulp and juice of the fruit is digestive, mild aperient, promoter of gastric secretion, blood purifier and intestinal antiseptic, useful in canker of the mouth. Tomato is good in atonic dyspepsia, promotes flow of bile, corrective for kidneys, a gentle na","Leaves contain glycol-alkaloides, tomatine and tomatidine and traces of solanine, amino acids and amides. Seeds contain neotigogenin, quercetin, kaempferol, lupeol, lanost-8-en-3?-ol, lanosterol, 24-methylenelanost-8-en-3?-ol, cycloartanol, 24-methylenecy",Herb,Cultivated throughout the country.,"An odorous viscidly pubescent annual herb, up to 1 m tall. Stems weak and trailing. Leaves up to 30 cm long, imparipinnate, lyrate or sometimes slightly lobed. Flowers small, 1.5-1.7 cm across, yellow, on lax, few-flowered, peduncled cymes. Fruits juicy, variable in size (2-10 cm across), shape (round, oblong or lobed) and colour (deep red, brick red or yellowish).",a7f18075baf7f9812fde75e3.html,200,2026-09-24T18:46:55.101252+00:00,encoding_loss_suspected
421,428,https://mpbd.cu.ac.bd/details.php?id=428,Luvunga SCANDENS Buch.-Ham.,Luvunga  SCANDENS Buch.-Ham.,True,Rutaceae,Limonia scandens  Roxb. Luvunga nitida  Pierre,"Labangaphal, Lavangalota.",-,"Cooling, aphrodisiac, allay thirst, cures consumption, biliousness, burning and fever.","Root and berries are cooling and aphrodisiac, allay thirst, cures consumption, biliousness, burning and fever.","Four crystalline neutral compounds have been isolated from mature fruits (Chopra, 1992). Myricardiol, taraxerol and myricolal have been isolated from the bark (Rastogi and Mehrotra, 1990).",Shrub,Forests of Sylhet.,"A scandent evergreen shrub generally tufted from the ground with strong axillary spines. Leaves 3-foliolate, long-pelioled, leaflets lanceolate or oblong-lanceolate, coriaceous. Flowers conspicuous, white, in glabrous, cymose racemes in the axils of the leaves, petals about 10-12 mm long. Berries oval, obscurely 3-lobed, the size of a pigeon’s egg.",b4c309496dca4d4570e31dbe.html,200,2026-09-24T18:46:56.528724+00:00,
422,429,https://mpbd.cu.ac.bd/details.php?id=429,Luffa CYLINDRICA (L.) Roem.,Luffa  CYLINDRICA (L.) Roem.,True,Cucurbitaceae,Luffa leucosperma  M.Roem. Luffa aegyptiaca  Mill. Melothria touchanensis  H. Lév. Momordica cylindrica  L.,"Dhundul.   ,Powgul (Tanchangya).","Sopnge Gourd, Smooth Luffa.","Expectorant, tonic, laxative, diuretic, cures biliousness, spleen diseases, leprosy, piles, fever, bronchitis, cool, costive, demulcent, skin disorders, haemorrhoids, emetic and cathartic.","Fruits are expectorant, tonic, laxative and diuretic, cures biliousness, spleen diseases, leprosy, piles, fever and bronchitis. Young fruits are cool, costive and demulcent, increase appetite. Oinment prepared from the fruit pulp is used in the treatment","Fruit contains xylan, xylose, galactan, hydrocarbons, glycoproteins and free amino acids such as lysine, arginine, aspartic acid, glycine, threonine, glutamic acid, alanine, tryptophan, phenylalanine and leucines and choline and phytin. They also contain",Climber,Cultivated all over the country.,"A large climber, with 3-fid tendrils. Leaves orbicular-reniform 10-20 cm long, palmately 5-( rarely 7-) lobed, both surfaces finely scabrous. Male flowers in axillary 4-20 flowered racemes, petals yellow, spreading. Female flowers solitary, yellow, axillary. Fruit 12-30 cm long, cylindric, blunt at the end, marked with longitudinal lines.",2d209dccf051ec09b6d9abf5.html,200,2026-09-24T18:46:57.587992+00:00,
423,430,https://mpbd.cu.ac.bd/details.php?id=430,Luffa ACUTANGULA (L.) Roxb.,Luffa  ACUTANGULA (L.) Roxb.,True,Cucurbitaceae,Cucumis acutangulus  L. Cucurbita acutangula  (L.) Blume Luffa fluminensis  Roem. Momordica tubiflora  Wall.,"Jhinga, Jinga, Sataputi.       ,Jhiya (Tanchangya).",Ribbed Gourd.,"Splenitis, haemorrhoides, ringworms, leprosy, demulcent, diuretic and nutritive, purgative, emetic and anthelmintic properties.","The pounded leaves are applied locally to splenitis, haemorrhoides, ringworms and leprosy. Juice of the fresh leaves is given to children in granular conjunctivitis as a drop, to prevent adhereing of lids at night from excessive meibomian secretion. Fruit","The plant contains a bitter substance luffin. Seeds contain 20% of a saponin glycoside, enzyme and a fixed oil (Chopra et al., 1992). Flowers and fruits contain free amino acids, arginine, glycine, threonine, lysine, alanine, asparagines, aspartic and glu",Climber,Cultivated all over the country.,"A large climber, with usually 3-fid tendrills. Leaves orbicular in outline, 15-20 cm long, palmately 5-7 angled or sublobate, scabrid. Flowers yellow, large, male flowers in axillary 12-20 flowered racemes, female flowers solitary. Fruit 15-30 cm long, clavate-oblong, tapering towards the base, longitudinally ribbed.",dc852f0bd9a382e299ecef3b.html,200,2026-09-24T18:46:58.957217+00:00,
424,431,https://mpbd.cu.ac.bd/details.php?id=431,Ludwigia ADSCENDENS (L.) Hara.,Ludwigia  ADSCENDENS (L.) Hara.,True,Onagraceae,Jussiaea adscendens  L. Jussiaea repens L.,"Kesardam, Mulcha, Mulsi, Molchi (Rema-Kalenga).",-,"Dysentery, ulcers and skin diseases.","Leaf extract is taken for curing dysentery. Whole plant is used as a poultice in ulcers and other skin diseases.
 Extracts of leaves and stem exert strong antimicrobial activity similar to that of standard antibiotics. Flower petals possess anti-inflamma","Leaves, stems and flower petals contain the flavonoid glycosides, kaempferol-3-glucoside, quercetin-3-O-rhamnoglucoside (rutin), quercetin-3-galactoside, mericetin-3-rhamnoside and isosalipurposide. The plant also contains terpenes, triterpenoids, flavono",Herb,"All over the country, found floating in pounds and ditches.","A floating herb, rooting at the nodes, and cluster of  conspicuous white, spindle-shaped, pneumatophores at the nodes. Leaves 1.25-7.6 cm long, obovate or oblanceolate, obtuse. Flowers white, slightly yellow at the base, axillary, solitary, petals about 1.25 cm long, obovate. Capsule linear-cylindric, 1.27-3.8 cm long.",35a66b24fa85947ef52cd107.html,200,2026-09-24T18:47:00.227207+00:00,
425,432,https://mpbd.cu.ac.bd/details.php?id=432,Litsea MONOPETALA (Roxb.) Pers.,Litsea  MONOPETALA (Roxb.) Pers.,True,Lauraceae,Litsea polyantha  Juss. Tetranthera macrophylla  Roxb. Tetranthera monopetala  Roxb.,"Bara Kukurchita, Mendaphuri, Sukurja, Uruijja (Chittagong), Akorma, Akarma, Lalkhori (Dinajpur), Huoria (Sylhet), ,Bol-bet, Bol-bek (Garo), Bini Gaith (Tanchangya), Akorma, Akarma (Santal).",Common Grey Mango Laurel.,"Astringent, stomachic, stimulant, diarrhea, dysentery and pain.","The bark is mildly astringent, stomachic and stimulant, after being bruished, applied to contusions. Water extract of the bark is given with sugar to treat diarrhoea and dysentery. Powder of the bark is applied to body for pains arising from blows or bru","?-sitosterol and actinodaphnine have been isolated from the bark of the plant (Rastogi and Mehrotra, 1990).",Tree,"Forests of Chittagong, Chittagong Hill Tracts, Sylhet and Sal forests of Gazipur, Madhupur, Dinajpur. Also found in the villages throughout the country.","Small or mediam sized evergreen tree. Leaves 7.5-23 cm long, elliptic-oblong, usually rounded at both ends, pubescent beneath. Flowers small, pale greenish yellow, sessile or subsessile, about 5-6 together in rounded umbellate heads, 1-1.3 cm across, solitary or clustered on dwarf side shoots. Fruit 10 mm long, ovoid, black.",78bbf6f4559b2ac5798ff7a3.html,200,2026-09-24T18:47:01.561136+00:00,encoding_loss_suspected
426,433,https://mpbd.cu.ac.bd/details.php?id=433,Litsea LANCIFOLIA (Roxb.ex Nees) Fern.-Vill,Litsea  LANCIFOLIA (Roxb.ex Nees) Fern.-Vill,True,Lauraceae,Litsea hansenii  Kosterm. Tetranthera lancifolia  Roxb. ex Nees,"Lancichita (B), Judijaylla (Chakma).",-,Diarrhoea.,Warm root extract is taken frequently by Chakmas for the cure of diarrhoea in Rangamati.,-,Tree,Forests of southeastern part of  the country.,"A bush or small tree, branches slender, finely tomentose. Leaves 7.6-20.3 cm long, oblong or elliptic oblong or lanceolate, acute or acuminate. Umbels few, small in usually very shortly pedicelled clusters, villously tomentose, flowers minute. Fruits globose, apiculate, 1.27 cm diam.",12350d9ba97b0066b23ed049.html,200,2026-09-24T18:47:02.865079+00:00,
427,434,https://mpbd.cu.ac.bd/details.php?id=434,Litsea GLUTIONSA (Lour.) Rob.,Litsea  GLUTIONSA (Lour.) Rob.,True,Lauraceae,Camellia integrifolia  Choisy Dodecadenia robusta  Zoll. & Moritzi Litsea apetala  (Roxb.) Pers. Sebifera glutinosa  Lour.,"Kukurchita, Rattan, Garur, Karjiuki, Phulgach, Kugach, Maida lakri, Khuz Barela, Meda, Menda (Chittagong), Kharajora (Mymensingh), Phuhuri (Noakhali), Khagar (Dinajpur), Baslap, Menda (Rema-Kalenga). ,Paja (Santal).",Common Tallow Laurel.,"Demulcent, diarrhea, dysentery, rheumatism, antispasmodic, emollient, colic, impotence, Diarrhoea and dysentery.",The mucilaginous bark is largely employed as a demulcent and mild astrigent in diarrhoea and dysentery. Freshly ground bark used as an emollient application to bruises and as a styptic dressing for wounds. It is also considered aprodisiac. The oil from th,"Leaves and bark are rich in mucilage and contain an alkaloid, laurotetanine, which causes titanic spasm in animals. Leaves also contain amino acids, cystine, glycine, L-alanine, ?-alanine, valine, tyrosine, proline, phenylalanine and leucine. A new flavon",Tree,"Forests of Chittagong, Chittagong Hill Tracts, Cox’s Bazar, Sylhet, Gazipur, Madhupur and Dinajpur.","A medium-sized, deciduous or semi-evergreen tree. Leaves 10-25 cm long, elliptic-ovate or oblong-lanceolate, acute or acuminate, more or less grey-tomentose beneath. Flowers small yellowish, about 8-12 together in umbellate heads, 13-16 mm across, arranged in lax, pedunculate ,axillary corymbs. Fruit 7.5 mm, globose, black.",46e9712bd4c1575e01dcfa68.html,200,2026-09-24T18:47:04.154565+00:00,encoding_loss_suspected
428,435,https://mpbd.cu.ac.bd/details.php?id=435,Litchi CHINESIS Sonn.,Litchi  CHINESIS Sonn.,True,Sapindaceae,Nephelium litchi  (Lour.) Camb. Corvinia litschi  Stadtm. ex Willemet Euphoria didyma  Blanco Nephelium litchi  Cambess. Scytalia chinensis  Gaertn.,"Litchi, Lichu, Lachu.",Litchi.,"Tonic, anodyne, neuralgic disorders and orchitis.","Fruits are tonic to the heart, brain and liver. The kernel of the seed is ground and macerated to alcohol for use in intestinal troubles, seeds are also used as an anodyne and are prescribed in various neuralgic disorders and in orchitis. The root, bark a","Fresh juicy, white and nearly transparent arilous pulp of the fruit contains amino acids, L-ascorbic acid, folic acid and its conjugates sugars and volatile compounds. Seeds contain saponins, leucocyanidin and a hypoglycaemic substance, ?-(methylenecyclop",Tree,Planted throughout the country.,"A medium-sized evergreen tree. Leaves pinnate, leaflets 2-8, oblong-lanceolate or ovate, acuminate, 3.8-15 cm long. Flowers minute, greenish, in terminal panicles. Fruit ovoid, 3.8 cm long, sharply tuberculate, red when ripe, containing one large, ovoid, brown seed.",a4dae246ec060443496aa0f2.html,200,2026-09-24T18:47:05.380379+00:00,encoding_loss_suspected
429,436,https://mpbd.cu.ac.bd/details.php?id=436,Linum USITATISSIMUM L.,Linum  USITATISSIMUM L.,True,Linaceae,Linum crepitans  (Boenn.) Dumort. Linum humile  Mill.,"Tisi, Chikna, Masina.",Linseed.,"Tonic, diuretic, aphrodisiac, demulcent, ulcers, leprosy, cough, kidney troubles, gouty, rheumatic swellings, colds, gonorrhea and pain.","The seeds are tonic, diuretic, aphrodisiac and demulcent, used in ulcers, leprosy, cough and kidney troubles. Poultices of seeds are recommended for gouty and rheumatic swellings, as an emollient the mucilage is dropped into the eye, with honey it is pres","Seeds contain a large quantity (30-40%) of fixed oil (composed of 36-50% linolenic acid and 23-24% linoleic acid), proteins (16-31%), principally two globulins, linin and colinin mucilage (6%), small amount of enzyme linase, a cyanogenetic glycoside, lina",Herb,"Chittagong, Dhaka, Kustia, Magura, Rajshahi and Sylhet, cultivated.","An annual erect herb, up to 60 cm tall, stems solitary or few, corymbosely branched, branches ascending. Leaves up to 3.8 cm long, linear-lanceolate, acute. Flowers blue, about 2.5 cm across, in corymbose panicles. Capsules ovoid, mucronate.",3fb913c3abc5a27bd382677a.html,200,2026-09-24T18:47:06.573322+00:00,
430,437,https://mpbd.cu.ac.bd/details.php?id=437,Lindenbergia INDICA Vatke,Lindenbergia  INDICA Vatke,True,Scrophulariaceae,Lindenbergia urticaefolia  Lehm.,"Basanti, Haldi Basanti.",-,Bronchitis and skin disease.,Juice of the plant is given in chronic bronchitis and mixed with coriander plant applied to skin eruptions.,"Various parts of the plant contain a large number of long-chain hydrocarbons, ?-sitosterol, ?-sitosterol palmitate, ?-sitosterol- ?-D-glucoside, mannitol and apigenin (Ghani, 2003).",Herb,"All over the country on damp, old walls.","An annual, small, erect herb, 15-50 cm high. Leaves 2-5 cm long, ovate, subacute, crenate-serrate, usually glandular-villous. Flowers yellow, solitary or 2-nate in the axils of large leaves, sometimes running out into axillary or terminal leafy racemes, corolla yellow, 1.3 cm long, 2-lipped. Capsules oblong, 5 mm long.",e44729bdea3e7b8a5fe675ee.html,200,2026-09-24T18:47:07.694844+00:00,encoding_loss_suspected
431,438,https://mpbd.cu.ac.bd/details.php?id=438,Limnophila INDICA (L.) Druce.,Limnophila  INDICA (L.) Druce.,True,Scrophulariaceae,Limnophila gratioloides  R. Br. Ambulia indica  (L.) W.Wight Columnea balsamea  Roxb. Hottonia indica  L.,"Karpur, Ambuja.",-,"Antiseptic, elephantiasis, fevers and  dysentery.",Plant is beleived to be antiseptic. A liniment made from the plant with coconut oil is used in elephantiasis. Juice of the plant rubbed over body in pestilent fevers and combined with ginger and cumin given internally in dysentery.,"The plant contains an essential oil consisting of d-limonene and d-perillaldehyde. Both aerial and submerged leaves contain amino acids, which include alanine, serine, glutamic acid, aspartic acid and histidine. The aerial leaves also contain leucine, val",Herb,"Throughout the country in low-lying, moist areas, swamps and rice-fields.","A small aromatic herb, 7.5-20 cm high, smelling strongly of turpentine, stems subquadrangular, rooting at the lower nodes. Leaves usually all whorled and pinnatifid, the upper sometimes entire and opposite, 6-20 cm long, linear-oblong, serrate-dentate. Flowers solitary, axillary or racemed, corolla pink, 8 mm long.",e5a57258815f9706c6a96591.html,200,2026-09-24T18:47:09.065415+00:00,
432,439,https://mpbd.cu.ac.bd/details.php?id=439,Leucas zeylanica (L.) W.T.Aiton.,Leucas zeylanica (L.) W.T.Aiton.,True,Lamiaceae,Leucas zeylanica  (L.) R. Br. Leonurus parviflorus  Moench Phlomis indica  L. Spermacoce denticulata  Walp.,"Kusha, Shetadrone.,Pai Thung Sa (Marma).",-,"Headache, colds, scabies, skin diseases and ulcers.","Juice of the herb is used in headache, colds, scabies and other skin diseases. Decoction of leaves is used as a lotion for ulcers of the nose.","Plant contains an essential oil, antibacterial principles and other constituents similar to those of other Leucas species (Ghani, 2003).",Herb,"Dhaka, Chittagong, Chittagong Hill Tracts, Comilla and Sylhet in fallow lands.","An erect, hispid, annual herb, 15-45 cm high, much-branched from near the base, branches quadrangular. Leaves subsessile, 2.5-7.5 cm long, linear or linear-lanceolate, obtuse, entire or cerrulate, hispid. Flowers sessile or subsessile, usually in terminal whorls, 1.3-2 cm diam, corolla white, 2 cm long.",b2de38b7533fb2ae4d7a0d35.html,200,2026-09-24T18:47:10.303658+00:00,
433,440,https://mpbd.cu.ac.bd/details.php?id=440,Leucas LAVANDULIFOLIA Sm.,Leucas  LAVANDULIFOLIA Sm.,True,Lamiaceae,Hetrepta lavandulifolia  (Sm.) Raf. Leonurus indicus  L. Leucas linifolia  (Roth) Spreng. Phlomis linifolia  Roth,"Chhoto Halkusha, Gaochia, Donkolos, Droton, Dronpuspi. ,Pai Sung Sa, Pai Tung Sa (Marma), Sasaneo (Bwam).",-,"Vermifuge, febrifuge, headaches, cough, scabies, cold, sores and wounds.","The plant is vermifuge. Leaves are roasted and eaten with salt as a febrifuge and to restore appetite. Juice employed in headaches, cough, scabies and cold. Leaves mixed with salt and kerosene is useful as poultice in sores and wounds.
  The methanol ext","An isopimarane rhamnoglucoside, linifolioside, have been isolated from this plant (Ghani, 2003).",Herb,"Dhaka, Comilla, Chittagong, Chittagong Hill Tracts, Noakhali, Rajshahi and Sylhet in fallow lands.","An annual erect herb, 35-75 cm high, pubescent or tomentose. Leaves 4.5-9 cm, linear-lanceolate, obtuse, entire or remotely serrate. Flowers subsessile, in axillary and terminal whorls, 1.3-2 cm diam., corolla white, about 1.3 cm long.",5e5ae7a52e3fa19402139caa.html,200,2026-09-24T18:47:11.649323+00:00,
434,441,https://mpbd.cu.ac.bd/details.php?id=441,Leucas CEPHALOTES (Roth.) Spreng.,Leucas  CEPHALOTES (Roth.) Spreng.,True,Lamiaceae,Leucas capitata  Desf. Phlomis cephalotes  Roth,"Bara Halkusha, Dandakolos, Dhrupy.",-,"Stimulant, diaphoretic, scabies, eczema, aperient, diaphoretic, emmenagogue, insecticide, expectorant, administered, cough and colds.","The plant is stimulant and diaphoretic. The fresh juice is used as an external application in scabies and eczema. The flowers are stimulant, aperient, diaphoretic, emmenagogue, insecticide, expectorant and administered in the form of a syrup as a domestic","Flowers contain a small quantity of essential oil and an alkaloid. Alcoholic extract of the whole plant contained ?-sitosterol,   glycoside of ?-sitosterol and traces of an alkaloid (Ghani, 2003). Seeds contain oil, rich in labellenic acid and its esters",Herb,"Dhaka, Chittagong and Jessore in fallow lands.","An annual pubescent herb, 0.6-0.9 cm high, stem and branches quadrangular. Leaves 3.8-7.5 cm long, ovate or ovate-lanceolate, crenate-serrate, hairy. Flowers sessile, in large, globose, dense, terminal whorls, 2.5-5 cm across, corolla 2 cm long, white.",371c8f6d3fe75460ee34a4b0.html,200,2026-09-24T18:47:13.116922+00:00,encoding_loss_suspected
