plant_index,source_query,bmpdd_query_name,parser_status,rows_extracted,rows_with_cid,rows_missing_cid
330,Euphorbia tithymaloides L.,Euphorbia tithymaloides,PASS,1,1,0
331,Pavetta INDICA L.,Pavetta INDICA,PASS,1,0,1
332,Passiflora FOETIDA L.,Passiflora FOETIDA,PASS,73,73,0
333,Parsonia SPIRALIS Wall.,Parsonia SPIRALIS,ZERO_RESULTS,0,0,0
334,Pandanus odorifer (Forssk.) Kuntze.,Pandanus odorifer,ZERO_RESULTS,0,0,0
335,Paederia LANUGINOSA Wall.,Paederia LANUGINOSA,ZERO_RESULTS,0,0,0
336,Paederia FOETIDA L.,Paederia FOETIDA,PASS,135,117,18
337,Oxystelma SECAMONE (L.) Karst.,Oxystelma SECAMONE,ZERO_RESULTS,0,0,0
338,Oxalis CORNICULATA L.,Oxalis CORNICULATA,ZERO_RESULTS,0,0,0
339,Oryza SATIVA L. .,Oryza SATIVA,ZERO_RESULTS,0,0,0
340,Orthosiphon aristatus (Blume) Miq.,Orthosiphon aristatus,ZERO_RESULTS,0,0,0
341,Oroxylum INDICUM (L.) Kurz.,Oroxylum INDICUM,ZERO_RESULTS,0,0,0
342,Orobanche AEGYPTIACA Pers.,Orobanche AEGYPTIACA,ZERO_RESULTS,0,0,0
343,Opuntia ELATIOR Mill.,Opuntia ELATIOR,ZERO_RESULTS,0,0,0
344,Ophiorrhiza rugosa VAR. PROSTRATA (D.Don) Deb & Mondal.,Ophiorrhiza rugosa var. PROSTRATA,ZERO_RESULTS,0,0,0
345,Operculina TURPETHUM (L.) Silva.- Manso.,Operculina TURPETHUM,ZERO_RESULTS,0,0,0
346,Ocimum tenuiflorum L.,Ocimum tenuiflorum,PASS,267,267,0
347,Ocium GRATISSIMUM L.,Ocium GRATISSIMUM,ZERO_RESULTS,0,0,0
348,Ocimum BASILICUM L.,Ocimum BASILICUM,ZERO_RESULTS,0,0,0
349,Ocimum AMERICANUM L.,Ocimum AMERICANUM,PASS,134,102,32
350,discladium SQUARROSUM (L.) Tiegh.,discladium SQUARROSUM,ZERO_RESULTS,0,0,0
351,Nymphoides HYDROPHYLLA (Lour.) Kuntze.,Nymphoides HYDROPHYLLA,ZERO_RESULTS,0,0,0
352,Nymphaea nouchali Burm. f.,Nymphaea nouchali,ZERO_RESULTS,0,0,0
353,Nymphaea NOUCHALI Burm. f.,Nymphaea NOUCHALI,ZERO_RESULTS,0,0,0
354,Nyctanthes ARBOR-TRISTIS L.,Nyctanthes ARBOR-TRISTIS,PASS,49,45,4
355,Nipa FRUTICANS Wurmb.,Nipa FRUTICANS,ZERO_RESULTS,0,0,0
356,Nigella SATIVA L,Nigella SATIVA,PASS,138,138,0
357,Nicotiana TABACUM L.,Nicotiana TABACUM,ZERO_RESULTS,0,0,0
358,Nicotiana RUSTICA L.,Nicotiana RUSTICA,ZERO_RESULTS,0,0,0
359,Nerium oleander L.,Nerium oleander,ZERO_RESULTS,0,0,0
360,Nelumbo NUCIFERA Gaertn.,Nelumbo NUCIFERA,ZERO_RESULTS,0,0,0
361,Neonauclea sessilifolia (Roxb.) Merr.,Neonauclea sessilifolia,ZERO_RESULTS,0,0,0
362,Rorippa indica (L.) Hiern.,Rorippa indica,ZERO_RESULTS,0,0,0
363,Myrica ESCULENTA Buch.-Ham,Myrica ESCULENTA,ZERO_RESULTS,0,0,0
364,Mussaenda ROXBURGHII Hook. f.,Mussaenda ROXBURGHII,PASS,54,34,20
