sampled_tier,inchikey_connectivity,bmppd_name,pubchem_title_cid,pubchem_title_name,formula_cid,formula_name,layer_cid,layer_name,plants,my_judgement,notes
LOW,DRUIESSIVFYOMK,Palmitic acid,Trichloroacetonitrile,Palmitic Acid,C2Cl3N,C16H32O2,DRUIESSIVFYOMK,IPCSVZSSVZVIGE,731 (Areca CATECHU L.),,
LOW,DQELOVNSWGCVQZ,Spathulenol,3-Tetradecenol,Spathulenol,C14H28O,C15H24O,DQELOVNSWGCVQZ,FRMCCTDTYSRUBE,659 (Crassocephalum CREPIDIOIDES (Benth.) Moore),,
LOW,LOUPRKONTZGTKE,"3,4-dimethoxy-1-methyl-2H-pyridine","(R)-[(2S,5R)-5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl]-(6-methoxyquinolin-4-yl)methanol",,C20H24N2O2,,LOUPRKONTZGTKE,,731 (Areca CATECHU L.),,
LOW,FBPFZTCFMRRESA,Bergenin | D-Mannose,Mannitol,D-Mannose,C6H14O6,C6H12O6,FBPFZTCFMRRESA,WQZGKKKJIJFFOK,121 (Albizia PROCERA (Roxb.) Benth.); 626 (Cuscuta REFLEXA Roxb.),,
LOW,RKHQLCNACMCZQU,kaempferol 3-O-glucoside,Kaempferol 3-(6''-ferulylglucoside),Astragalin,C31H28O14,C21H20O11,RKHQLCNACMCZQU,JPUKWEQWGBDDQB,418 (Lygodium FLEXUOSUM Sw.),,
LOW,HVYWMOMLDIMFJA,Flavoxanthin,Cholesterol,Flavoxanthin,C27H46O,C40H56O3,HVYWMOMLDIMFJA,JRHJXXLCNATYLS,637 (Cucurbita MAXIMA Duch.),,
LOW,YCAQPZXDWPHYBD,3-Carene,trans-3-Caren-2-ol,3-Carene,C10H16O,C10H16,YCAQPZXDWPHYBD,BQOFWKZOCNGFEC,915 (Altingia excelsa Noronha),,
LOW,BVKZGUZCCUSVTD,Cyanidin chloride,Malachite,Cyanidin Chloride,CH2O3,C15H11ClO6,BVKZGUZCCUSVTD,VEVZSMAEJFVWIL,563 (Entada rheedii Spreng.),,
LOW,KJHKTHWMRKYKJE,alpha-Copaene,Lopinavir,alpha-Copaene,C37H48N4O5,C15H24,KJHKTHWMRKYKJE,VLXDPFLIRFYIME,843 (Bougainvillea spectabilis Willd),,
LOW,SRHRAINFNPVRDF,boeravinone F,"[1]Benzopyrano[3,4-b][1]benzopyran-12(6H)-one, 11-hydroxy-6,9-dimethoxy-10-methyl-",Boeravinone F,C19H16O6,C17H10O7,SRHRAINFNPVRDF,IRFJPHPNKCAISA,9 (Boerhavia diffusa L.),,
