scientific_name,synonym,family,source_page_url,scrape_timestamp
Sapindus SAPONARIA L.,Sapindus abruptus Lour. Sapindus indica Poir. Sapindus rigidus Mill. Sapindus stenopterus DC. Sa,Sapindaceae,https://mpbd.cu.ac.bd/plants.php?pageno=10,2026-09-22T15:48:00.744510+00:00
Schleichera oleosa (Lour.) Merr.,Pistacia oleosa Lour. Schleichera oleosa (Lour.) Oken.,Sapindaceae,https://mpbd.cu.ac.bd/plants.php?pageno=10,2026-09-22T15:48:00.744510+00:00
Abelmoschus ESCULENTUS (L.) Moench,Hibiscus esculentus L. Abelmoschus tuberculatus Pal & Singh Abelmoschus officinalis (DC.) Endl A,Malvaceae,https://mpbd.cu.ac.bd/plants.php?pageno=10,2026-09-22T15:48:00.744510+00:00
Abelmoschus MOSCHATUS Medik.,Hibiscus abelmoschus L. Abelmoschus betulifolia wall. Abelmoschus chinensis wall. Abelmoschus cuc,Malvaceae,https://mpbd.cu.ac.bd/plants.php?pageno=10,2026-09-22T15:48:00.744510+00:00
Abroma AUGUSTA (L.) L.f.,Abroma alata Blanco Abroma angulata Lam. Abroma angulosa Poir. Abroma sinuosa G.Nicholson,Sterculiaceae,https://mpbd.cu.ac.bd/plants.php?pageno=10,2026-09-22T15:48:00.744510+00:00
Abrus PRECATORIUS L.,Abrus precatorius subsp. Precatorius Abrus abrus (L.) Wright Abrus minor Desv. Glycine abrus L.,Fabaceae,https://mpbd.cu.ac.bd/plants.php?pageno=10,2026-09-22T15:48:00.744510+00:00
Abutilon INDICUM (L.) Sweet,Abutilon arborescens Medik. Abutilon asiaticum var. subasperum Fosberg Abutilon cavaleriei H.Lév.,Malvaceae,https://mpbd.cu.ac.bd/plants.php?pageno=10,2026-09-22T15:48:00.744510+00:00
Acacia CATECHU (L.f.) Willd.,Acacia catechu Willd. Acacia sundra (Roxb.) Bedd. Mimosa catechu L.F. Mimosa catechuoides Roxb.,Mimosaceae,https://mpbd.cu.ac.bd/plants.php?pageno=10,2026-09-22T15:48:00.744510+00:00
Acacia FARNESIANA (L.) Willd.,Acacia acicularis Willd. Acacia farnesiana var. Farnesiana Acacia indica (Poir.) Desv. Farnesia,Mimosaceae,https://mpbd.cu.ac.bd/plants.php?pageno=10,2026-09-22T15:48:00.744510+00:00
Acacia NILOTICA (L.) Willd. ex Del. ssp. INDICA (Benth.) Brenan.,Acacia arabica (Lam.) Willd. Acacia nilotica subsp. Nilotica Mimosa arabica Lam. Mimosa niloti,Mimosaceae,https://mpbd.cu.ac.bd/plants.php?pageno=10,2026-09-22T15:48:00.744510+00:00
Acacia PENNATA (L.) Willd.,Acacia canescens (Kurz)Gamble Acacia hainanensis Hayata Acacia pennata subsp. Pennata,Mimosaceae,https://mpbd.cu.ac.bd/plants.php?pageno=11,2026-09-22T15:48:02.271804+00:00
Acacia concinna (WILLD.) DC.,Acacia rugata (Lam.) Mer. Acacia rugata (Lam.) Voigt Acacia rugata (Lam.) Merr. Guilandin,Mimosaceae,https://mpbd.cu.ac.bd/plants.php?pageno=11,2026-09-22T15:48:02.271804+00:00
Acalypha INDICA L.,Cupamenis indica (L.) Raf. Acalypha chinensis Benth. Acalypha spicata Forssk. Ricinocarpus indi,Euphorbiaceae,https://mpbd.cu.ac.bd/plants.php?pageno=11,2026-09-22T15:48:02.271804+00:00
Acampe praemorsa (Roxb.) Blatt. & McCann,Acampe excavata Lindl. Acampe papillosa Lindl. Cymbidium praemorsum (Roxb.) Sw. Gastrochilus praem,Orchidaceae,https://mpbd.cu.ac.bd/plants.php?pageno=11,2026-09-22T15:48:02.271804+00:00
