plant_index,compound_name_original,pubchem_cid_original,match_type,drop_reason
906,Linoleamide II,,no_match,unresolved_script01_no_match
906,Luteolin-O-hexoside-C-hexoside,,no_match,unresolved_script01_no_match
906,Methoxycarotene,,no_match,unresolved_script01_no_match
906,Naringenin di-O-hexoside,,no_match,unresolved_script01_no_match
906,Nonadecanamide II,,no_match,unresolved_script01_no_match
906,Ocatdecanoic acid II,,no_match,unresolved_script01_no_match
906,Octadecanedioic acid I,,no_match,unresolved_script01_no_match
906,Octadecanedioic acid II,,no_match,unresolved_script01_no_match
906,Octadecanedioic acid III,,no_match,unresolved_script01_no_match
906,Octadecanedioic acid IV,,no_match,unresolved_script01_no_match
906,Octadecanedioic acid V,,no_match,unresolved_script01_no_match
906,Octadecanedioic acid VI,,no_match,unresolved_script01_no_match
906,Oleamide I,,no_match,unresolved_script01_no_match
906,Oleamide II,,no_match,unresolved_script01_no_match
906,Oxodecanedioic acid,,no_match,unresolved_script01_no_match
906,Oxododecanedioic acid I,,no_match,unresolved_script01_no_match
906,Oxododecanedioic acid II,,no_match,unresolved_script01_no_match
906,Oxododecanedioic acid III,,no_match,unresolved_script01_no_match
906,Oxotetracosanedioic acid,,no_match,unresolved_script01_no_match
906,Palmitic acid I,,no_match,unresolved_script01_no_match
906,Palmitic acid II,,no_match,unresolved_script01_no_match
906,Palmitic acid III,,no_match,unresolved_script01_no_match
906,Palmitoleamide I,,no_match,unresolved_script01_no_match
906,Palmitoleamide II,,no_match,unresolved_script01_no_match
906,Palmitoleic acid I,,no_match,unresolved_script01_no_match
906,Palmitoleic acid II,,no_match,unresolved_script01_no_match
906,Palmitoleic acid III,,no_match,unresolved_script01_no_match
906,Pentacosanedioic acid I,,no_match,unresolved_script01_no_match
906,Pentacosanedioic acid II,,no_match,unresolved_script01_no_match
906,Phenylethyl-O-pentosyl hexoside (Icariside DC),,no_match,unresolved_script01_no_match
906,Protocatechuic acid hexoside,,no_match,unresolved_script01_no_match
906,Ricinoleic acid I,,no_match,unresolved_script01_no_match
906,Ricinoleic acid II,,no_match,unresolved_script01_no_match
906,Ricinoleic acid III,,no_match,unresolved_script01_no_match
906,Ricinoleic acid IV,,no_match,unresolved_script01_no_match
906,"Spiro (6,6-dimethyl-2,3-diazobicyclo[3.1.0] hex-2-ene-4,1'cyclopropane)",,no_match,unresolved_script01_no_match
906,Stearic acid I,,no_match,unresolved_script01_no_match
906,Stearic acid II,,no_match,unresolved_script01_no_match
906,Stearidonic acid I,,no_match,unresolved_script01_no_match
906,Stearidonic acid II,,no_match,unresolved_script01_no_match
906,Tetradecanedioic acid I,,no_match,unresolved_script01_no_match
906,Tetradecanedioic acid II,,no_match,unresolved_script01_no_match
906,alpha-Calacorene I,,no_match,unresolved_script01_no_match
906,alpha-Calacorene II,,no_match,unresolved_script01_no_match
908,Sylvamide,,no_match,unresolved_script01_no_match
203,9beta-Hydroxy-9-hydro-16-dehydro-12-methoxyibogamine-18-carboxylic acid methyl ester,,no_match,unresolved_script01_no_match
203,Iso-voacangine,,no_match,unresolved_script01_no_match
203,Mehranine,,no_match,unresolved_script01_no_match
203,Pseudovobparicine,,no_match,unresolved_script01_no_match
203,Voaharine,,no_match,unresolved_script01_no_match
203,"dimethyl (2R,6R,13R,22S,23S,24S,35R,38R,39S)-13,24-diethyl-23,32-dihydroxy-30,31-dimethoxy-21-oxa-1,9,17,28-tetrazaundecacyclo[22.13.1.16,9.02,22.03,20.05,18.06,16.027,35.029,34.035,38.013,39]nonatriaconta-3,5(18),11,15,19,26,29,31,33-nonaene-15,26-dicarboxylate",,no_match,unresolved_script01_no_match
203,"methyl (1S,10S,15R,17S,18S)-17-ethyl-10-hydroxy-3,13-diazapentacyclo[13.3.1.02,10.04,9.013,18]nonadeca-2,4,6,8-tetraene-1-carboxylate",,no_match,unresolved_script01_no_match
203,"methyl (1S,14R,15Z,18S)-15-ethylidene-17-methyl-12-oxo-10,17-diazatetracyclo[12.3.1.03,11.04,9]octadeca-3(11),4,6,8-tetraene-18-carboxylate",,no_match,unresolved_script01_no_match
203,"methyl (1S,17R)-17-(1-hydroxyethyl)-3,13-diazapentacyclo[13.3.1.02,10.04,9.013,18]nonadeca-2(10),4,6,8-tetraene-1-carboxylate",,no_match,unresolved_script01_no_match
207,"3,6 hexahydroxydiphenoylglucose",,no_match,unresolved_script01_no_match
207,3-O-?- D-glucopyranoside,,skipped_encoding_loss,unresolved_script01_skipped_encoding_loss
207,3-O-?- L -rhamnopyranoside,,skipped_encoding_loss,unresolved_script01_skipped_encoding_loss
207,4-O-?- L -2-acetylrhamnopyranoside,,skipped_encoding_loss,unresolved_script01_skipped_encoding_loss
207,Cyanidin malonylglucoside,,no_match,unresolved_script01_no_match
207,Dimethyl dihydromyricetin,,no_match,unresolved_script01_no_match
207,Methyl dihydromyricetin,,no_match,unresolved_script01_no_match
207,Peonidine,,no_match,unresolved_script01_no_match
207,Peonidine 3-O-glucoside,,no_match,unresolved_script01_no_match
207,Petunidine,,no_match,unresolved_script01_no_match
207,"Petunidine 3,5-diglucoside",,no_match,unresolved_script01_no_match
207,Petunidine 3-O-glucoside,,no_match,unresolved_script01_no_match
207,Quercetin deoxyhexoside,,no_match,unresolved_script01_no_match
207,gelatin,,no_match,unresolved_script01_no_match
207,polyvinyl alcohol,,no_match,unresolved_script01_no_match
207,starch,,no_match,unresolved_script01_no_match
209,Gelomulide D,,no_match,unresolved_script01_no_match
213,"3-[3,4-dimethoxy-6-methyl-5-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-5,14-dihydroxy-13-methyl-17-(5-oxo-2H-furan-3-yl)-2,3,4,6,7,8,9,11,12,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene-10-carbaldehyde",,no_match,unresolved_script01_no_match
213,Sarmethoside,,no_match,unresolved_script01_no_match
213,Strophanolloside,,no_match,unresolved_script01_no_match
219,"(4S)-10,11-dimethoxyspiro[5-azatricyclo[6.3.1.04,12]dodeca-1(12),8,10-triene-2,4'-cyclohexa-2,5-diene]-1'-one",,no_match,unresolved_script01_no_match
229,Sisalagenone,,no_match,unresolved_script01_no_match
229,Torvogenin,,no_match,unresolved_script01_no_match
229,Torvonin B,,no_match,unresolved_script01_no_match
232,24-Methyl-31-norlanost-9(11)-enol,,no_match,unresolved_script01_no_match
232,Aminoethylcysteine ketimine decarboxylated dimer,,no_match,unresolved_script01_no_match
247,4-(5-Methyl-2-furyl)-3-buten-2-one,,no_match,unresolved_script01_no_match
